Date,Close/Last
12/1/2022,$103.37 
12/2/2022,$105.05 
12/5/2022,$103.55 
12/6/2022,$102.08 
12/7/2022,$101.87 
12/8/2022,$103.74 
12/9/2022,$101.79 
12/12/2022,$102.70 
12/13/2022,$102.11 
12/14/2022,$102.19 
12/15/2022,$99.99 
12/16/2022,$98.83 
12/19/2022,$98.30 
12/20/2022,$98.00 
12/21/2022,$98.67 
12/22/2022,$97.76 
12/23/2022,$98.27 
12/27/2022,$99.20 
12/28/2022,$98.60 
12/29/2022,$99.77 
12/30/2022,$99.20 
1/3/2023,$100.83 
1/4/2023,$104.46 
1/5/2023,$104.43 
1/6/2023,$106.69 
1/9/2023,$104.74 
1/10/2023,$106.00 
1/11/2023,$106.30 
1/12/2023,$105.85 
1/13/2023,$107.23 
1/17/2023,$106.75 
1/18/2023,$105.00 
1/19/2023,$104.26 
1/20/2023,$105.04 
1/23/2023,$106.21 
1/24/2023,$106.64 
1/25/2023,$106.98 
1/26/2023,$108.76 
1/27/2023,$109.02 
1/30/2023,$108.40 
1/31/2023,$109.14 
2/1/2023,$109.99 
2/2/2023,$109.15 
2/3/2023,$104.30 
2/6/2023,$105.02 
2/7/2023,$106.83 
2/8/2023,$106.30 
2/9/2023,$106.05 
2/10/2023,$107.09 
2/13/2023,$108.52 
2/14/2023,$107.98 
2/15/2023,$109.00 
2/16/2023,$107.54 
2/17/2023,$107.10 
2/21/2023,$104.78 
2/22/2023,$104.77 
2/23/2023,$103.51 
2/24/2023,$101.60 
2/27/2023,$102.44 
2/28/2023,$102.09 
3/1/2023,$101.43 
3/2/2023,$103.01 
3/3/2023,$104.55 
3/6/2023,$104.99 
3/7/2023,$103.34 
3/8/2023,$102.50 
3/9/2023,$100.30 
3/10/2023,$99.38 
3/13/2023,$99.08 
3/14/2023,$99.46 
3/15/2023,$99.34 
3/16/2023,$100.43 
3/17/2023,$98.70 
3/20/2023,$99.85 
3/21/2023,$100.54 
3/22/2023,$99.12 
3/23/2023,$98.42 
3/24/2023,$98.34 
3/27/2023,$98.66 
3/28/2023,$98.72 
3/29/2023,$100.62 
3/30/2023,$101.32 
3/31/2023,$104.13 
4/3/2023,$104.85 
4/4/2023,$104.00 
4/5/2023,$104.90 
4/6/2023,$104.68 
4/10/2023,$104.74 
4/11/2023,$105.74 
4/12/2023,$105.60 
4/13/2023,$106.99 
4/14/2023,$107.47 
4/17/2023,$108.31 
4/18/2023,$107.91 
4/19/2023,$107.16 
4/20/2023,$107.05 
4/21/2023,$108.19 
4/24/2023,$109.29 
4/25/2023,$109.34 
4/26/2023,$111.47 
4/27/2023,$112.75 
4/28/2023,$114.29 
5/1/2023,$114.56 
5/2/2023,$114.46 
5/3/2023,$103.96 
5/4/2023,$104.72 
5/5/2023,$107.21 
5/8/2023,$107.17 
5/9/2023,$106.71 
5/10/2023,$106.97 
5/11/2023,$105.63 
5/12/2023,$106.12 
5/15/2023,$106.64 
5/16/2023,$105.28 
5/17/2023,$105.69 
5/18/2023,$107.09 
5/19/2023,$105.51 
5/22/2023,$102.90 
5/23/2023,$100.34 
5/24/2023,$99.61 
5/25/2023,$98.44 
5/26/2023,$98.53 
5/30/2023,$97.75 
5/31/2023,$97.64 
6/1/2023,$97.52 
6/2/2023,$99.50 
6/5/2023,$99.93 
6/6/2023,$98.22 
6/7/2023,$97.92 
6/8/2023,$99.15 
6/9/2023,$97.96 
6/12/2023,$98.46 
6/13/2023,$99.26 
6/14/2023,$100.66 
6/15/2023,$101.38 
6/16/2023,$101.87 
6/20/2023,$101.27 
6/21/2023,$101.87 
6/22/2023,$100.85 
6/23/2023,$98.34 
6/26/2023,$98.23 
6/27/2023,$98.72 
6/28/2023,$98.61 
6/29/2023,$98.68 
6/30/2023,$99.06 
7/3/2023,$99.15 
7/5/2023,$98.46 
7/6/2023,$96.20 
7/7/2023,$96.05 
7/10/2023,$99.13 
7/11/2023,$100.09 
7/12/2023,$101.14 
7/13/2023,$101.60 
7/14/2023,$101.61 
